codigo_produto,descricao_produto,qtd_ocorrencias
012048,"¿¿¿FORNECIMENTO E INSTALAÇÃO  DAS PEÇAS  DE DUTO NECESSÁRIAS  PARA  OS 02 EQUIPAMENTOS  EXISTENTE (lembrando que , vamos",1
008178,(**)SP FILTRO SEC. SPORLAN PHLK-C-167 7/8 S,4
011909,(ESPECIALISTAS EM ROTORES E TURBINAS,1
007049,"(SKU 019) FERRAMENTAS BROCAS SERRA COPO, PARA MATERIAIS RESISTENTES. KIT COM 12 PECAS, TAMANHOS ENTRE 15 MM E 50 MM.",1
007649,[SK] HD Disco Rigido 02TB CFTV Skyhawk Sata Seagate,3
000835,** CHAPA # 3/16 - PRETA LISA - KG,1
010216,10 Fita Compativel Etiquetador Brother Mk231 12mm Pt80-70-90 Cor Branco,3
010196,10 Laminas Para Raspador De Seguranca 4 Cm Bralimpia,3
010580,10 PEÇAS CAIXA BIN ORGANIZADORA PLÁSTICA GAVETEIRO Nº7 PRETO,3
010978,"100 PONTEIRAS INTERNAS PLASTICAS 5/8 15,86MM BRANCAS",1
009017,1013- F PINO DE INOX P/ DOBRADIÇA 1103-A,1
004281,1013F AL - PINO DOBRADICA INFERIOR,2
009013,1101 A- DOBRADICA SUPERIOR -PTO,2
009015,1103 A- DOBRADIÇA INFERIOR -PTO,5
004279,1103A AL PT - DOBRADICA INFERIOR,1
009014,1201 -A BUCHA P/ DOBRADIÇA 1101 -A -PTO,1
004246,1306 LGL PT - SUPORTE C/MIOLO P/UNIAO LT,2
004075,1307 GL NF - SUPORTE SEM MIOLO PARA UNIAO,1
009016,1504 -A CONTRA FECHADURA ALVENARIA -PTO,1
004259,1520 AL PT - FECHADURA CENTRAL,2
004076,1529-1 GL PT - TRINCO PARA BOX ZAMAC 1 ROLETE,4
004260,1531 AL PT - CONTRA FECHADURA C/BATEDOR P/1520,9
011436,2 Cartela 100 Etiquetas Voltagem 110 220 Tomada Adesivo Cor Preto/vermelho Desenho Impresso 110v/220v2 Cartela 100 Etiqu,4
010703,20 ROLOS FILME STRETCH COM CABO ADAPTADOR GIRATÓRIO 100MTS,4
007558,2F-N6/8P-PRO+ - ALICATE DE CRIMP RJ45 CAT6 + 8X8 + 6X6/4/2 - 2FLEX,1
011885,30 unidades de suporte para notebook,1
010487,6UNI ESPUMA FLORAL - FENOLICA P/ ARRANJO DE FLORES NATURAIS,2
009876,ABAFADOR DE RUIDOS EPI SEGURANÇA 8011 BRASFORT COR VERMELHO,1
004836,ABAFADOR SIMPLES 800X200 R30,1
004314,ABRACADEIRA,1
007362,ABRAÇADEIRA 22-32 FITA 14MM COMUM,1
008119,ABRACADEIRA 25X100MM,5
008120,ABRACADEIRA 48X100MM,5
007496,"ABRAÇADEIRA BRANCA 280MMX4,8X1,3",1
009515,ABRACADEIRA D 1.1/4 POLEGADA COM PORCA E PARAFUSO,1
009510,ABRACADEIRA D 3 COM PORCA E PARAFUSO,1
001223,ABRAÇADEIRA D C/ CUNHA 2.1/2,2
001224,ABRACADEIRA D C/ CUNHA 3/4,6
008704,ABRAÇADEIRA D COM CUNHA 1.1/2,3
000920,ABRAÇADEIRA DE AÇO LAMP FLUOR 20/40 MEDIA,16
001034,"ABRAÇADEIRA DE NYLON 2,5X100MM PRETA",6
001362,"ABRAÇADEIRA DE NYLON 2,5X100MM PRETA",1
000256,"ABRAÇADEIRA DE NYLON 4,8MM X 30CM PRETO",10
000257,"ABRAÇADEIRA DE NYLON 4,8MM X 30CM TRANSPARENTE",1
001128,"ABRAÇADEIRA DE NYLON BRANCA 3,6X1500MM",2
011017,ABRAÇADEIRA FIXAÇÃO CONDULETE ELETRODUTO PVC 3/4 PRETO,3
