"codigo_origem";"descricao_original";"unidade_origem";"produto_canonico";"marca";"categoria";"nome_variante";"unidade_canonica";"atributos"
"goevo:000002";"RODAPE BCO SANTA LUZIA 456 2,40M";"PC";"Rodape Santa Luzia 456";"Santa Luzia";"Acabamento";"Branco 2,40 m";"PC";"Cor=Branco | Comprimento=2,40 m"
"goevo:000003";"MDF BNF CARBONO TRAMA 2F 25MM 5,06M2";"M2";"MDF Bonificado Carbono Trama";"";"Chapas e Paineis";"2F 25 mm 5,06 m²";"M2";"Faces=2 Faces | Espessura=25 mm | Area=5,06 m²"
"goevo:000005";"TUBO SOLD AF PVC 3M 60MM TIGRE";"UN";"Tubo PVC Soldavel Agua Fria Tigre";"Tigre";"Hidraulica";"60 mm 3 m";"UN";"Diametro=60 mm | Comprimento=3 m"
"goevo:000006";"JOELHO 90 SOLD 60MM TIGRE";"UN";"Joelho 90° Soldavel Tigre";"Tigre";"Hidraulica";"60 mm";"UN";"Diametro=60 mm"
"goevo:000007";"LUVA SOLD 60MM TIGRE";"UN";"Luva Soldavel Tigre";"Tigre";"Hidraulica";"60 mm";"UN";"Diametro=60 mm"
"goevo:000008";"TE SOLD 60MM TIGRE";"UN";"Te Soldavel Tigre";"Tigre";"Hidraulica";"60 mm";"UN";"Diametro=60 mm"
"goevo:000009";"TINGIDOR STAIN TRANSP 3,6L";"UN";"Tingidor Stain Transparente";"";"Pintura";"3,6 L";"UN";"Capacidade=3,6 L"
"goevo:000010";"GEL REMOVEDOR STRIPTIZI BR 4KG MONTANA";"UN";"Gel Removedor Striptizi Montana";"Montana";"Pintura";"4 kg";"UN";"Capacidade=4 kg"
"goevo:000011";"PISO CIMENT MAPA SP PB 20X20CM 0,48";"M2";"Piso Cimenticio Mapa SP";"";"Revestimento";"PB 20x20 cm";"M2";"Cor=Preto e Branco | Tamanho=20x20 cm | Rendimento=0,48 m²"
"goevo:000012";"CIMENTO CPII E-32 50KG NACIONAL";"UN";"Cimento CP II E-32 Nacional";"Nacional";"Material Basico";"50 kg";"UN";"Peso=50 kg"
"goevo:000013";"AREIA MEDIA 20KG";"UN";"Areia Media";"";"Material Basico";"20 kg";"UN";"Peso=20 kg"
"goevo:000014";"VERGALHAO ACO CA50 1/4 6,3MM 12M";"UN";"Vergalhao Aco CA-50";"";"Estrutura";"1/4"" 12 m";"UN";"Bitola=1/4"" (6,3 mm) | Comprimento=12 m"
"goevo:000015";"TERMINAL COMPRESS 25MM REF.506";"PC";"Terminal Compressao Ref. 506";"";"Eletrica";"25 mm";"PC";"Bitola=25 mm"
"goevo:000016";"BARRAMENTO 80A 220/440V 3X19 DIN TRIF.";"PC";"Barramento DIN Trifasico";"";"Eletrica";"80A 220/440V 3x19";"PC";"Corrente=80 A | Voltagem=220/440 V | Dimensao=3x19"
"goevo:000017";"BARRAMENTO P/34 DISJ TRIF 100A DIN BC";"PC";"Barramento DIN Trifasico para Disjuntor";"";"Eletrica";"34 Disj 100A BC";"PC";"Capacidade=34 Disjuntores | Corrente=100 A | Cor=Branco"
"goevo:000018";"CANECA TRADICIONAL";"UN";"Caneca Tradicional";"";"Diversos";"Padrao";"UN";""
"goevo:000019";"SSD 240GB 2.5 SATA III S200 KINGPOWER";"PC";"SSD Kingpower S200";"Kingpower";"Informatica";"240GB 2.5"" SATA III";"PC";"Capacidade=240 GB | Interface=SATA III | Formato=2.5"""
"goevo:000020";"SOQUETE RABICHO FLUORESCENTE G13 - CERGE";"PC";"Soquete Rabicho Fluorescente Cerge";"Cerge";"Iluminacao";"G13";"PC";"Modelo=G13"
"goevo:000021";"TUBO QUADRADO 50 X 50 ALUMINIO 6 METROS";"BR";"Tubo Quadrado Aluminio";"";"Estrutura";"50x50 mm 6 m";"BR";"Dimensao=50x50 mm | Comprimento=6 m"
"goevo:000022";"TOMADA EMBUTIR 2P+T PB 10A 250V PRETA SEM PLACA RE - BUILDING";"PC";"Tomada Embutir Building";"Building";"Eletrica";"2P+T 10A Preta";"PC";"Tipo=2P+T | Corrente=10 A | Voltagem=250 V | Cor=Preta | Observacao=Sem Placa"
"goevo:000023";"SACOLA PRETA PERSONALIZADA EM BRANCO";"UN";"Sacola Personalizada";"";"Embalagem";"Preta Em Branco";"UN";"Cor=Preta | Personalizacao=Em Branco"
"goevo:000024";"ENTREGA - SP - MOTOBOY";"UN";"Entrega Motoboy SP";"";"Servico";"Padrao";"UN";""
"goevo:000025";"KIT 300 CARTOES DE VISITA VERNIZ LOCAL - 88X48MM";"UN";"Kit Cartoes de Visita Verniz Local";"";"Grafica";"300un 88x48mm";"UN";"Quantidade=300 unidades | Tamanho=88x48 mm"
"goevo:000026";"ULTIMA TEGULAR 19 X 625 X 625 MM BRANCO";"UN";"Forro Tegular Ultima";"";"Forro";"19mm 625x625mm Branco";"UN";"Espessura=19 mm | Dimensao=625x625 mm | Cor=Branco"
"goevo:000027";"PAINEL STANDARD 12,5 X 1200 X 1800 MM";"UN";"Painel Standard";"";"Chapas e Paineis";"12,5mm 1200x1800mm";"UN";"Espessura=12,5 mm | Dimensao=1200x1800 mm"
"goevo:000028";"PARAFUSO GN45 P/BROCA";"CT";"Parafuso GN45 para Broca";"";"Fixacao";"Padrao";"CT";""
"goevo:000029";"PAINEL CIMENTICIO SEM REB 10X1200X2400MM";"UN";"Painel Cimenticio Sem Revestimento";"";"Chapas e Paineis";"10mm 1200x2400mm";"UN";"Espessura=10 mm | Dimensao=1200x2400 mm"
"goevo:000030";"CHUMBADOR COMPLETO COM PARAFUSO 1/4""X2"" (I)";"PC";"Chumbador Completo com Parafuso";"";"Fixacao";"1/4""x2""";"PC";"Bitola=1/4""x2"""
"goevo:000031";"CONECTOR GENERICO P/CABO 6MM A 25MM FRONT";"PC";"Conector Generico para Cabo Front";"Front";"Eletrica";"6mm a 25mm";"PC";"Bitola=6 mm a 25 mm"
"goevo:000032";"FITA TELADA FIBATAPE ROLO 90M";"UN";"Fita Telada Fibatape";"Fibatape";"Drywall";"90 m";"UN";"Comprimento=90 m"
"goevo:000033";"GUIA 48 X 30 X 3000MM";"UN";"Guia Drywall";"";"Drywall";"48x30 mm 3 m";"UN";"Dimensao=48x30 mm | Comprimento=3 m"
"goevo:000034";"MASSA UNICA PARA PAINEL CIMENTICIO 5KG";"UN";"Massa Unica para Painel Cimenticio";"";"Drywall";"5 kg";"UN";"Peso=5 kg"
"goevo:000035";"ALCAPAO EM ACO RF 400X400MM BRANCO";"UN";"Alcapao em Aco RF";"";"Acabamento";"400x400 mm Branco";"UN";"Dimensao=400x400 mm | Cor=Branco"
"goevo:000036";"PAINEL ROCK-PAD ACUSTICO 1350X600X51MM 32KG - C/8 PC";"UN";"Painel Rock-Pad Acustico";"";"Isolamento Acustico";"1350x600x51 mm 32 kg (8 pc)";"UN";"Dimensao=1350x600x51 mm | Peso=32 kg | Quantidade=8 peças"
"goevo:000037";"EXAUSTOR AXIAL RESIDENCIAL 150mm EXL 220v VENTISOL";"PC";"Exaustor Axial Residencial Ventisol";"Ventisol";"Ventilacao";"150 mm EXL 220V";"PC";"Diametro=150 mm | Modelo=EXL | Voltagem=220 V"
"goevo:000038";"KIT PORTA PRONTA P/ DRYWALL 82CM X 75MM DIREITO";"UN";"Kit Porta Pronta para Drywall";"";"Drywall";"82 cm 75 mm Direito";"UN";"Largura=82 cm | Espessura=75 mm | Lado=Direito"
"goevo:000039";"PARAFUSO GN25 PATTA CAIXA C/ 1000 PECAS";"UN";"Parafuso GN25 Patta";"Patta";"Fixacao";"Caixa 1000 peças";"UN";"Quantidade=1000 peças"
