codigo,descricao,motivo
012048,"-FORNECIMENTO E INSTALAÇÃO DAS PEÇAS DE DUTO NECESSÁRIAS PARA OS 02 EQUIPAMENTOS EXISTENTE (lembrando que , vamos",texto-orcamento
008399,"ANÁLISE DO AMBIENTE PARA IDENTIFICAÇÃO DOS OFENSORES QUE CAUSAM BAIXA QUALIADE NAS TRANSMISSÕES DE VIDEO NAS UNIDADES GO",servico
009049,"APLICAÇÃO DE IDENTIDADE VISUAL EM MDF COM RECORTE A LASER E PINTURA AUTOMOTIVA NA COR PRETO FOSCO",servico
012255,"Atendimento por agendamento sob demanda (16h-remoto exclusivo)",servico
009806,"ATUALIZAÇÃO DE TREINAMENTO PARA O USO CORRETO E REGULAR DOS EQUIPAMENTOS DE PROTEÇÃO INDIVIDUAL",servico
009808,"ATUALIZAÇÃO DE TREINAMENTO PARA TRABALHAR COM SEGURANÇA EM ATIVIDADES ENVOLVENDO ELETRICIDADE",servico
004225,"CANTO MOEDA MÃO DE OBRA",servico
011577,"CONFECÇÃO DE LETREIRO PERSONALIZADO EM ACRILICO",servico
004068,"CONFECÇÃO DE MOVEIS PLANEJADO",servico
012170,"CONFECÇÃO DE PEDRA PARA NIVELAR COM FRONTÃO 50,5X27",servico
008470,"CONFECÇÃO DE TAMPO DE MESA",servico
007253,"DESINSTALAÇÃO DE CONDENSADORES MARQUIZE",servico
009486,"DESINSTALAÇAO DE EVAPORADORES K7, RELOCAÇÃO DE EVAPORADOR K7 E INSTALAÇÃO DE EQUIPAMENTOS DUTO",servico
011466,"DESINSTALAÇÃO DE K7 VRF 24.000 BTUS E INSTALAÇÃO DE DUTO VRF TRANE 24.000 BUTS E STARTUP",servico
011551,"DESINSTALAÇÃO DE K7, RELOCAÇÃO DE 01 TRECHO DE INFRA FRIGORIGENA E UM STARTUP DO SISTEMA",servico
008378,"DESINSTALAÇÃO DO EQUIPAMENTO DUTO",servico
008381,"DESINSTALAÇÃO E INSTALAÇÃO DE DIFUSORES",servico
008787,"ELABORAÇÃO DE LAUDO COM ART",servico
012287,"Elaboração de laudo técnico do SPDA (para-raios), conforme proposta nº 16358/SPDA-02/2026.",servico
006298,"EXECUÇÃO DE PISO DOS BANHEIROS COM RODA PÉ",servico
006296,"EXECUÇÃO DE RAMPA DE ALVENARIA",servico
006297,"EXECUÇÃO DE REQUADRAMENTO DE PORTAS",servico
011808,"execução de shaft de drywall",servico
012508,"FORAM FEITOS ALGUNS PROCEDIMENTOS NOS DUTOS, PARA IR MAIS VAZÃO DE AR PRA ESSAS 03 SALAS E INSTALAÇÃO DE 01 DIFUSORES PR",texto-orcamento
012080,"FORNECEIMENTO E INSTALAÇÃO DOS CONJUNTOS DE 04 PEÇAS DE DUTOS, NECESSÁRIAS PARA OS 04 EQUIPAMENTOS.",texto-orcamento
007422,"FORNECIMENTO DA PEÇA DE DUTO E REALOCAÇÃO DE DIFUSOR",servico
008637,"FORNECIMENTO DAS GRELHAS DE INSUFLAMENTO E RETORNO",servico
007377,"FORNECIMENTO DAS PEÇAS DE DUTOS",servico
008460,"FORNECIMENTO DE CAIXA COM COLARINHO",servico
008461,"FORNECIMENTO DE CAIXA PLENIUM",servico
007223,"FORNECIMENTO DE CHAPA E FECHAMENTO DE DIFUSORES",servico
007197,"FORNECIMENTO DE CHAPA E FECHAMENTO DE PONTOS",servico
008580,"FORNECIMENTO DE CHAPAS",servico
009011,"FORNECIMENTO DE COROA DE BRONZE BV FUSO",servico
008163,"FORNECIMENTO DE DUTOS FLEXIVEIS",servico
008106,"FORNECIMENTO DE GÁS",servico
008379,"FORNECIMENTO DE HÉLICE",servico
009483,"FORNECIMENTO DE INFRA FRIGORIGENA",servico
009760,"FORNECIMENTO DE MÃO DE OBRA PARA SERVIÇO DE SERVENTE",servico
012312,"FORNECIMENTO E INSTALAÇÃO 02 GRELHAS DE RETORNO SOB MEDIDA",servico
011935,"FORNECIMENTO E INSTALAÇÃO DAS PEÇAS DE DUTOS NECESSÁRIAS (04 PEÇAS POR EVAPORADORA)",servico
012313,"FORNECIMENTO E INSTALAÇÃO DAS PEÇAS DE DUTOS NECESSÁRIAS, APROXIMADAMENTE 7 METROS",servico
012330,"FORNECIMENTO E INSTALAÇÃO DAS PEÇAS DE DUTOS NECESSÁRIAS, PARA 02 EQUIPAMENTOS. SENDO 04 PEÇAS PARA CADA MÁQUINA .",servico
012307,"FORNECIMENTO E INSTALAÇÃO DE 01 DIFUSOR PEQUENO PARA ATENDER A SALA PEQUENA",servico
012305,"FORNECIMENTO E INSTALAÇÃO DE 01 PEÇA DE DUTO, COLARINHO E INSTALAÇÃO DE 01 DIFUSOR",servico
012309,"FORNECIMENTO E INSTALAÇÃO DE 01 RAMAL DE DUTO, APROXIMADAMENTE 4 METROS",servico
012306,"FORNECIMENTO E INSTALAÇÃO DE 01 RAMAL DE DUTOS 1,5 M",servico
012324,"FORNECIMENTO E INSTALAÇÃO DE 03 RAMAIS DE DUTOS ISOLADOS DE APROXIMADAMENTE 7 METROS CADA",servico
009057,"FORNECIMENTO E INSTALAÇÃO DA INFRAESTRUTURA (TUBULAÇÕES DE COBRE)",servico
007155,"FORNECIMENTO E INSTALAÇÃO DAS PEÇAS DE DUTOS",servico
012039,"FORNECIMENTO E INSTALAÇÃO DAS PEÇAS DE DUTOS NECESSÁRIOS",servico
010986,"FORNECIMENTO E INSTALAÇÃO DAS PEÇAS DE DUTOS NECESSÁRIOS P/ FECHAMENTO DE EQUIPAMENTOS E INSTALAÇÃO DE DIFUDORES",servico
011750,"FORNECIMENTO E INSTALAÇÃO DAS PEÇAS DE DUTOS NECESSÁRIOS PARA EQUIPAMENTOS SENDO PEÇAS PARA CADA MÁQUINA",servico
012425,"FORNECIMENTO E INSTALAÇÃO DE 01 RAMAL DE DUTO ISOLADO DE 05 MTS E DE 01 RAMAL DE DUTO ISOLADO DE 02 MTS TOTAL DE 07 ME",servico
012317,"FORNECIMENTO E INSTALAÇÃO DE 01 RAMAL DE DUTO DE 2 METROS",servico
012316,"FORNECIMENTO E INSTALAÇÃO DE 02 GRELHAS LATERAIS DE DUTOS E COLARINHOS (botinha) NA LATERAL DO DUTO",servico
011552,"FORNECIMENTO E INSTALAÇÃO DE 02 PEÇAS DE DUTO, PARA DAR MAIS VAZÃO DE AR, PARA 04 DIFUSORES",servico
012497,"FORNECIMENTO E INSTALAÇÃO DE 02 RAMAIS DE DUTOS ISOLADO DE 06 METROS CADA.",servico
011938,"FORNECIMENTO E INSTALAÇÃO DE 03 RAMAIS DE DUTOS DE 07 METROS CADA",servico
