codigo_removido,codigo_mantido,produto,descricao
001196,001525,"Pano Microfibra","PANO MICROFIBRA 30X30 AMARELO"
005942,005943,"Pano Microfibra","PANO MICROFIBRA 30X30 AZ"
012454,012166,"Pano Microfibra","PANO MICROFIBRA 30X30 AZUL"
012455,012015,"Pano Microfibra","PANO MICROFIBRA 30X30 VERDE"
001198,001527,"Pano Microfibra","PANO MICROFIBRA 30X30 VERMELHO"
012551,001339,"Cabo PP","CABO PP 4 X 1,5MM (METRO)"
001248,006200,"Cabo PP","CABO PP 5 X 1,5MM"
006495,004315,"Luva Cobre","LUVA COBRE 7/8"
007281,005134,"Abracadeira","ABRAÇADEIRA PRETA 200 MM X 4,8 X 1,3 (200 PEÇAS)"
008800,007407,"Camiseta Feminina Uniforme Gowork","CAMISETA FEMININA (G BABY LOOK) UNIFORME GOWORK"
000904,007407,"Camiseta Feminina Uniforme Gowork","CAMISETA FEMININA ( G ) UNIFORME GOWORK"
000906,007407,"Camiseta Feminina Uniforme Gowork","CAMISETA FEMININA ( M ) UNIFORME GOWORK"
006355,007407,"Camiseta Feminina Uniforme Gowork","CAMISETA FEMININA ( XG ) UNIFORME GOWORK"
008801,007407,"Camiseta Feminina Uniforme Gowork","CAMISETA FEMININA (EG BABY LOOK) UNIFORME GOWORK"
000909,000908,"Camiseta Masculina Uniforme Gowork","CAMISETA MASCULINA ( GG ) UNIFORME GOWORK"
000910,000908,"Camiseta Masculina Uniforme Gowork","CAMISETA MASCULINA ( M ) UNIFORME GOWORK"
006353,000908,"Camiseta Masculina Uniforme Gowork","CAMISETA MASCULINA ( EG ) UNIFORME GOWORK"
000911,000908,"Camiseta Masculina Uniforme Gowork","CAMISETA MASCULINA ( P ) UNIFORME GOWORK"
011194,000908,"Camiseta Masculina Uniforme Gowork","CAMISETA MASCULINA ( EEG ) UNIFORME GOWORK"
012303,007473,"Grelha De Retorno C/r","GRELHA DE RETORNO C/R 200X200MM"
001418,001518,"Rolo Espuma","ROLO 9 CM ESPUMA"
